SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Description;Authority;DelfiName;THID;TariffProvider;LastOperationDate;SEV
242291;S;de:09661:1080;de:09661:1080;Aschaffenburg Süd;49,968457;9,152584;09661000;Aschaffenburg;-;-;;BEG;-;D925BD000438;-;2026-12-12T00:00:00;nein
242292;A;de:09661:1080:1;de:09661:1080;Gleis 1;49,968486;9,152557;00000000;-;-;-;Gleis 1;BEG;-;-;-;;nein
242293;A;de:09661:1080:2;de:09661:1080;Bus;49,968608;9,151641;00000000;-;-;-;Bus;BEG;-;-;-;;nein
242294;A;de:09661:1080:3;de:09661:1080;Gleis 2+3;49,968527;9,152719;00000000;-;-;-;Gleis 2+3;BEG;-;-;-;;nein
242295;A;de:09661:1080:70;de:09661:1080;Unterführung;49,968307;9,151973;00000000;-;-;-;Unterführung;BEG;-;-;-;;nein
242296;A;de:09661:1080:90;de:09661:1080;Eingang West;49,968324;9,15156;00000000;-;-;-;Eingang West;BEG;-;-;-;;nein
242297;A;de:09661:1080:91;de:09661:1080;Eingang Ost;49,968475;9,152081;00000000;-;-;-;Eingang Ost;BEG;-;-;-;;nein
242298;Q;de:09661:1080:1:1;de:09661:1080:1;Gleis 1;49,968272;9,151803;00000000;-;-;-;Gleis 1;BEG;-;-;-;;nein
242299;Q;de:09661:1080:2:1;de:09661:1080:2;Bus 1;49,968538;9,151425;00000000;-;-;-;Bus 1;BEG;-;-;-;;nein
242300;Q;de:09661:1080:2:2;de:09661:1080:2;Bus 2;49,968631;9,151794;00000000;-;-;-;Bus 2;BEG;-;-;-;;nein
242301;Q;de:09661:1080:3:2;de:09661:1080:3;Gleis 2;49,968024;9,151021;00000000;-;-;-;Gleis 2;BEG;-;-;-;;nein
242302;Q;de:09661:1080:3:3;de:09661:1080:3;Gleis 3;49,967937;9,151084;00000000;-;-;-;Gleis 3;BEG;-;-;-;;nein
242303;S;de:09661:1481;de:09661:1481;Aschaffenburg, Stadtpalais;49,97981;9,145029;09661000;Aschaffenburg;-;-;;BEG;-;D925BD0005C9;-;2026-12-12T00:00:00;nein
242304;Q;de:09661:1481:0:1;de:09661:1481;Steig 1;49,979816;9,145433;00000000;-;-;-;Steig 1;BEG;-;-;-;;nein
242305;Q;de:09661:1481:0:2;de:09661:1481;Steig 2;49,979821;9,144939;00000000;-;-;-;Steig 2;BEG;-;-;-;;nein
242306;S;de:09661:1493;de:09661:1493;Aschaffenburg, Ludwigsallee;49,975899;9,16216;09661000;Aschaffenburg;-;-;;BEG;-;D925BD0005D5;-;2026-12-12T00:00:00;nein
242307;Q;de:09661:1493:0:1;de:09661:1493;Bus 2;49,975743;9,162753;00000000;-;-;-;Bus 2;BEG;-;-;-;;nein
242308;Q;de:09661:1493:0:2;de:09661:1493;Bus 1;49,975974;9,161684;00000000;-;-;-;Bus 1;BEG;-;-;-;;nein
242309;S;de:09661:20541;de:09661:20541;Aschaffenburg, Lackfabrik;49,979908;9,114702;09661000;Aschaffenburg;;;;BEG;-;D925BD00503D;-;2026-12-12T00:00:00;nein
242310;Q;de:09661:20541:0:1;de:09661:20541;Aschaffenburg, Lackfabrik 01;49,979908;9,114702;00000000;-;-;-;;BEG;-;-;-;;nein
242311;Q;de:09661:20541:0:2;de:09661:20541;Aschaffenburg, Lackfabrik 02;49,979908;9,114702;00000000;-;-;-;;BEG;-;-;-;;nein
242312;S;de:09661:20542;de:09661:20542;Aschaffenburg, Horchstr.;49,980422;9,11702;09661000;Aschaffenburg;;;;BEG;-;D925BD00503E;-;2026-12-12T00:00:00;nein
242313;Q;de:09661:20542:0:1;de:09661:20542;Aschaffenburg, Horchstr. 01;49,980422;9,11702;00000000;-;-;-;;BEG;-;-;-;;nein
242314;Q;de:09661:20542:0:2;de:09661:20542;Aschaffenburg, Horchstr. 02;49,980428;9,114711;00000000;-;-;-;;BEG;-;-;-;;nein
242315;S;de:09661:20543;de:09661:20543;Aschaffenburg, Cunibertstr.;49,980272;9,131249;09661000;Aschaffenburg;;;;BEG;-;D925BD00503F;-;2026-12-12T00:00:00;nein
242316;Q;de:09661:20543:0:1;de:09661:20543;Aschaffenburg, Cunibertstr. 01;49,980307;9,131339;00000000;-;-;-;;BEG;-;-;-;;nein
242317;Q;de:09661:20543:0:2;de:09661:20543;Aschaffenburg, Cunibertstr. 02;49,980243;9,131159;00000000;-;-;-;;BEG;-;-;-;;nein
242318;S;de:09661:20544;de:09661:20544;Aschaffenburg, Pompejanumstr.;49,978637;9,138786;09661000;Aschaffenburg;;;;BEG;-;D925BD005040;-;2026-12-12T00:00:00;nein
242319;Q;de:09661:20544:0:1;de:09661:20544;Aschaffenburg, Pompejanumstr. 01;49,978637;9,138786;00000000;-;-;-;;BEG;-;-;-;;nein
242320;Q;de:09661:20544:0:2;de:09661:20544;Aschaffenburg, Pompejanumstr. 02;49,978637;9,138786;00000000;-;-;-;;BEG;-;-;-;;nein
242321;S;de:09661:50101;de:09661:50101;Aschaffenburg, Hofgartenstr.;49,974674;9,154713;09661000;Aschaffenburg;;;;BEG;-;D925BD00C3B5;-;2026-12-12T00:00:00;nein
242322;Q;de:09661:50101:0:1;de:09661:50101;Aschaffenburg, Hofgartenstr. 01;49,974674;9,154713;00000000;-;-;-;;BEG;-;-;-;;nein
242323;Q;de:09661:50101:0:2;de:09661:50101;Aschaffenburg, Hofgartenstr. 02;49,974674;9,154713;00000000;-;-;-;;BEG;-;-;-;;nein
242324;S;de:09661:50102;de:09661:50102;Aschaffenburg, Löherstr.;49,972606;9,145919;09661000;Aschaffenburg;;;;BEG;-;D925BD00C3B6;-;2026-12-12T00:00:00;nein
242325;Q;de:09661:50102:0:1;de:09661:50102;Aschaffenburg, Löherstr. 01;49,97334;9,147239;00000000;-;-;-;;BEG;-;-;-;;nein
242326;Q;de:09661:50102:0:2;de:09661:50102;Aschaffenburg, Löherstr. 02;49,971872;9,144607;00000000;-;-;-;;BEG;-;-;-;;nein
242327;Q;de:09661:50102:0:3;de:09661:50102;Aschaffenburg, Löherstr. 03;49,973224;9,147104;00000000;-;-;-;;BEG;-;-;-;;nein
242328;S;de:09661:50103;de:09661:50103;Aschaffenburg, Stadtbad (P+R);49,972057;9,135911;09661000;Aschaffenburg;;;;BEG;-;D925BD00C3B7;-;2026-12-12T00:00:00;nein
242329;Q;de:09661:50103:0:1;de:09661:50103;Aschaffenburg, Stadtbad (P+R) 01;49,972057;9,135911;00000000;-;-;-;;BEG;-;-;-;;nein
242330;Q;de:09661:50103:0:2;de:09661:50103;Aschaffenburg, Stadtbad (P+R) 02;49,971895;9,135974;00000000;-;-;-;;BEG;-;-;-;;nein
242331;S;de:09661:50104;de:09661:50104;AB-Leider, Berufsschule;49,974559;9,126946;09661000;Aschaffenburg;;;;BEG;-;D925BD00C3B8;-;2026-12-12T00:00:00;nein
242332;Q;de:09661:50104:0:1;de:09661:50104;AB-Leider, Berufsschule 01;49,974559;9,126946;00000000;-;-;-;;BEG;-;-;-;;nein
242333;Q;de:09661:50104:0:2;de:09661:50104;AB-Leider, Berufsschule 02;49,974582;9,126488;00000000;-;-;-;;BEG;-;-;-;;nein
242334;S;de:09661:50106;de:09661:50106;AB-Leider, Schönbusch;49,966423;9,107938;09661000;Aschaffenburg;;;;BEG;-;D925BD00C3BA;-;2026-12-12T00:00:00;nein
242335;Q;de:09661:50106:0:1;de:09661:50106;AB-Leider, Schönbusch 01;49,966267;9,107031;00000000;-;-;-;;BEG;-;-;-;;nein
